,직종코드,직종명,상위단계 직종코드
0,011,행정·경영·금융·보험 관리직,01
1,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,01
2,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,01
3,014,건설·채굴·제조·생산 관리직,01
4,015,행정·경영·회계·광고·상품기획 전문가,01
5,016,정부·공공행정 사무,01
6,017,경영지원 사무,01
7,018,회계·경리 사무,01
8,019,무역·운송·자재·구매·생산·품질 사무,01
9,01A,안내·접수·고객상담 사무,01
10,01B,통계·비서·사무보조·기타 사무,01
11,01C,금융·보험 전문가,01
12,01D,금융·보험 사무 및 영업,01
13,021,인문·사회·자연·생명과학 연구 및 시험,02
14,022,컴퓨터하드웨어·통신공학,02
15,023,컴퓨터시스템,02
16,024,소프트웨어,02
17,025,데이터·네트워크 및 시스템 운영,02
18,026,정보 보안 및 통신·방송 송출,02
19,027,건설·채굴 연구 및 공학기술,02
20,028,기계·로봇·금속·재료 연구 및 공학기술,02
21,029,전기·전자 연구 및 공학기술,02
22,02A,화학·에너지·환경 연구 및 공학기술,02
23,02B,섬유·식품·소방·방재·산업안전 연구 및 공학기술,02
24,02C,제도사(3D프린팅포함) 및 기타 인쇄·목재 등 공학기술,02
25,031,"대학교수, 학교 및 유치원 교사",03
26,032,문리·어학 강사,03
27,033,컴퓨터·기술·기능계 강사,03
28,034,예능·학습지·기타 강사,03
29,035,장학관·교육조교(RA포함) 및 교사·보육 보조,03
30,036,법률 전문가 및 법률 사무,03
31,037,사회복지·상담·직업상담·시민단체활동,03
32,038,보육교사·생활지도원 및 종교직,03
33,039,경찰·소방·교도·군인,03
34,041,의사·한의사·치과의사,04
35,042,수의사·약사 및 한약사·간호사·영양사,04
36,043,의료기사·치료사·재활사,04
37,044,그 외 보건·의료 종사자,04
38,051,"작가, 통·번역 및 출판물 전문가",05
39,052,기자 및 언론 전문가,05
40,053,학예사·사서·기록물관리사,05
41,054,창작·공연 (작가 및 연극 제외),05
42,055,디자이너 (미디어콘텐츠 제외),05
43,056,미디어콘텐츠·UX/UI 디자이너,05
44,057,연극·영화·방송 (방송기술 포함),05
45,058,공연·음반 기획 및 매니저,05
46,059,스포츠·레크리에이션,05
47,061,미용 및 반려동물 미용·관리,06
48,062,결혼·장례 등 예식 서비스,06
49,063,여행·객실승무·숙박·오락 서비스,06
50,064,주방장 및 조리사,06
51,065,식당 서비스(음식배달 포함),06
52,066,경호·보안,06
53,067,경비원,06
54,068,돌봄 서비스,06
55,069,청소·방역 및 가사 서비스,06
56,06A,검침·주차관리 및 기타 단순 서비스,06
57,071,"부동산중개, 기술·의약품 및 해외 영업",07
58,072,자동차·제품·광고 영업 및 상품 중개,07
59,073,텔레마케터(TM),07
60,074,소규모 판매점장 및 상점 판매,07
61,075,통신서비스·온라인판매·상품대여·노점·이동판매 및 주유,07
62,076,매장 계산 및 매표,07
63,077,판촉 및 기타 판매 종사자,07
64,078,항공기·선박·철도 조종 및 관제,07
65,079,자동차 운전(택시·버스·화물차·기타 자동차),07
66,07A,물품이동장비 조작,07
67,07B,택배·납품영업·선박갑판·하역 및 기타 운송,07
68,081,건설구조 기능(철골·철근·석공·목공·조적 등),08
69,082,건축마감 기능(미장·단열·도배·새시·영선 등),08
70,083,배관,08
71,084,건설·채굴 기계 운전,08
72,085,"기타 건설 기능(광원,채석,철로설치 등)",08
73,086,건설·채굴 단순 종사자,08
74,091,기계장비 설치·정비,09
75,092,운송장비 정비,09
76,093,금형 및 공작기계 조작,09
77,094,냉난방 설비·자동 조립라인·산업용 로봇 조작,09
78,095,기계 및 운송장비 조립,09
79,096,금속관련 기계·설비 조작,09
80,097,판금·제관·단조·주조,09
81,098,용접,09
82,099,도장·도금,09
83,09A,비금속제품 생산기계 조작,09
84,101,전기공(전기공사),10
85,102,"전기·전자 기기 설치·수리(사무용,가전제품,기타)",10
86,103,"발전·배전 장비, 전기·전자 설비 조작(전기관리)",10
87,104,전기·전자 부품·제품 생산기계 조작,10
88,105,전기·전자 부품·제품 조립,10
89,106,"정보통신기기 설치·수리(컴퓨터,핸드폰)",10
90,107,방송·통신장비 및 케이블 설치·수리,10
91,111,석유·화학물 가공장치 조작,11
92,112,고무·플라스틱 및 화학제품 생산기계 조작,11
93,113,환경 장치 조작(상하수도·재활용처리),11
94,114,섬유 제조 및 가공 기계 조작,11
95,115,패턴·재단·재봉,11
96,116,의복 제조 및 수선,11
97,117,"제화, 기타 섬유·의복 기계 조작",11
98,118,제과·제빵 및 떡 제조,11
99,119,"식품가공 기능원(도축·정육,김치·밑반찬제조 등)",11
100,11A,식품가공 기계 조작,11
101,121,인쇄기계·사진현상기 조작,12
102,122,목재·펄프·종이 생산,12
103,123,가구·목제품 제조·수리,12
104,124,공예 및 귀금속 세공,12
105,125,악기·간판 및 기타 제조(드론조작 포함),12
106,126,제조 단순 종사자,12
107,131,작물재배,13
108,132,낙농·사육,13
109,133,임업 종사자,13
110,134,어업 종사자,13
111,135,농림어업 단순 종사자,13
